Owner,Repository,Stars
microsoft,PowerToys,57582
dotnet-architecture,eShopOnContainers,18232
mxgmn,WaveFunctionCollapse,16662
NickeManarin,ScreenToGif,14981
dotnet,roslyn,14697
AvaloniaUI,Avalonia,11675
files-community,Files,11561
Unity-Technologies,ml-agents,11411
jellyfin,jellyfin,11319
huiyadanli,RevokeMsgPatcher,10640
mono,mono,9399
Ryujinx,Ryujinx,9324
QL-Win,QuickLook,9277
netchx,netch,9164
AutoMapper,AutoMapper,8157
bitwarden,server,8037
felixse,FluentTerminal,7977
MahApps,MahApps.Metro,7810
dotnet,orleans,7708
chocolatey,choco,7589
ppy,osu,7541
JeffreySu,WeiXinMPSDK,6897
dotnet,BenchmarkDotNet,6708
microsoft,ailab,6651
FluentValidation,FluentValidation,6465
abpframework,abp,6452
reactiveui,ReactiveUI,6407
duplicati,duplicati,6327
Jackett,Jackett,6132
Humanizr,Humanizer,6093
jasontaylordev,CleanArchitecture,6037
mbdavid,LiteDB,5880
gitextensions,gitextensions,5749
mRemoteNG,mRemoteNG,5519
lambci,docker-lambda,5490
xamarin,Xamarin.Forms,5366
sschmid,Entitas-CSharp,5166
NLog,NLog,5128
unoplatform,uno,5045
dotnet,reactive,5033
dotnetcore,CAP,4949
Live-Charts,Live-Charts,4931
ServiceStack,ServiceStack,4927
SixLabors,ImageSharp,4891
EduardoPires,EquinoxProject,4888
JasonStein,Notepads,4845
microsoft,FASTER,4618
rocksdanister,lively,4564
aalhour,C-Sharp-Algorithms,4437
StockSharp,StockSharp,4254
accord-net,framework,4110
thangchung,clean-code-dotnet,4034
domaindrivendev,Swashbuckle.AspNetCore,3993
lucasg,Dependencies,3861
dotnetcore,Util,3772
autofac,Autofac,3561
MvvmCross,MvvmCross,3554
ant-design-blazor,ant-design-blazor,3509
Topshelf,Topshelf,3403
umbraco,Umbraco-CMS,3379
Fody,Fody,3360
neo-project,neo,3294
anjoy8,Blog.Core,3247
SteamTools-Team,SteamTools,3196
fanliang11,surging,3058
TheBerkin,rant3,3051
commandlineparser,commandline,2966
HandyOrg,HandyControl,2950
ivanpaulovich,clean-architecture-manga,2927
d2phap,ImageGlass,2916
dotnetcore,FreeSql,2887
Accelerider,BaiduPanDownloadWinform,2863
xceedsoftware,wpftoolkit,2838
skoruba,IdentityServer4.Admin,2817
btcpayserver,btcpayserver,2813
siteserver,cms,2795
projectkudu,kudu,2782
Azure,azure-powershell,2682
pardeike,Harmony,2660
Tyrrrz,DiscordChatExporter,2649
zalo,MathUtilities,2643
chromelyapps,Chromely,2636
k8gege,Ladon,2625
Ombi-app,Ombi,2565
vis2k,Mirror,2553
fluentmigrator,fluentmigrator,2549
xoofx,markdig,2536
JimBobSquarePants,ImageProcessor,2431
t1m0thyj,WinDynamicDesktop,2408
Xabaril,AspNetCore.Diagnostics.HealthChecks,2384
MiniProfiler,dotnet,2367
sebastienros,jint,2293
OneGet,oneget,2287
QianMo,Unity-Design-Pattern,2281
zeromq,netmq,2267
smartstore,SmartStoreNET,2260
bridgedotnet,Bridge,2248
chkr1011,MQTTnet,2229
wave-harmonic,crest,2227
fluentscheduler,FluentScheduler,2227
ldqk,Masuit.Tools,2200
ServiceStack,ServiceStack.Redis,2185
dotnet,try,2166
ddevault,TrueCraft,2136
rafaelfgx,Architecture,2121
reactiveui,Akavache,2120
Cysharp,UniTask,2118
p-org,P,2114
linq2db,linq2db,2091
PowerShell,PSReadLine,2085
kevin-montrose,Jil,2068
IdentityServer,IdentityServer3,2040
xamarin,xamarin-macios,2022
borisdj,EFCore.BulkExtensions,1995
microsoft,GraphEngine,1976
hardkoded,puppeteer-sharp,1968
sqlkata,querybuilder,1964
Megabit,Blazorise,1963
zzzprojects,html-agility-pack,1920
sjdirect,abot,1911
UnityTech,UIWidgets,1877
Siccity,xNode,1868
peachpiecompiler,peachpie,1863
eventflow,EventFlow,1860
actions,runner,1851
jamesmh,coravel,1830
CollaboratingPlatypus,PetaPoco,1826
wolfgarbe,SymSpell,1822
cDima,Aerial,1809
tModLoader,tModLoader,1809
vietnam-devs,coolstore-microservices,1808
TelegramBots,Telegram.Bot,1801
fluentribbon,Fluent.Ribbon,1794
hanmin0822,MisakaTranslator,1793
robinrodricks,FluentFTP,1790
zzzprojects,EntityFramework-Plus,1728
loic-sharma,BaGet,1724
dotnetcore,NPOI,1718
Jessecar96,SteamDesktopAuthenticator,1687
Seneral,Node_Editor_Framework,1687
blazorhero,CleanArchitecture,1679
dotnet,spark,1668
jakubgarfield,Bonobo-Git-Server,1663
builtbybel,privatezilla,1656
Pryaxis,TShock,1628
odedshimon,BruteShark,1628
apache,lucenenet,1627
ElevenPaths,FOCA,1615
xamarin,xamarin-android,1601
antonpup,Aurora,1598
UnigramDev,Unigram,1595
Davidobot,BetterJoy,1594
kwsch,PKHeX,1593
nsubstitute,NSubstitute,1585
punker76,gong-wpf-dragdrop,1557
JasperFx,marten,1542
thepirat000,Audit.NET,1529
scriban,scriban,1528
nxrighthere,UnrealCLR,1516
praeclarum,Ooui,1513
tmsmith,Dapper-Extensions,1501
ONLYOFFICE,CommunityServer,1471
xasset,xasset,1459
lgsvl,simulator,1437
codecadwallader,codemaid,1425
ArcadeRenegade,SidebarDiagnostics,1424
BornToBeRoot,NETworkManager,1421
asc-lab,dotnetcore-microservices-poc,1414
ivaylokenov,MyTested.AspNetCore.Mvc,1411
danielpalme,ReportGenerator,1410
yimengfan,BDFramework.Core,1391
Accelerider,Accelerider.Windows,1385
YarnSpinnerTool,YarnSpinner,1380
tjackenpacken,taskbar-groups,1369
monitor1394,unity-ugui-XCharts,1368
PiranhaCMS,piranha.core,1352
castleproject,Core,1346
xceedsoftware,DocX,1341
dotnetcore,Magicodes.IE,1341
QianMo,X-PostProcessing-Library,1339
SkyAPM,SkyAPM-dotnet,1332
aspnet-contrib,AspNet.Security.OAuth.Providers,1329
castleproject,Windsor,1328
zzzprojects,EntityFramework.Extended,1314
BepInEx,BepInEx,1305
mikependon,RepoDB,1298
winauth,winauth,1296
zkSNACKs,WalletWasabi,1289
icedland,iced,1286
gigya,microdot,1286
Assistant,ModAssistant,1282
microsoftarchive,cqrs-journey,1259
nuke-build,nuke,1247
MahApps,MahApps.Metro.IconPacks,1244
dotnet,interactive,1242
944095635,DMSkin,1234
PowerShell,PSScriptAnalyzer,1222
NeutroniumCore,Neutronium,1222
qmlnet,qmlnet,1213
iamoldli,NetModular,1208
1y0n,AV_Evasion_Tool,1207
AsynkronIT,protoactor-dotnet,1203
VitalElement,AvalonStudio,1187
ServiceStack,ServiceStack.Text,1187
SciSharp,BotSharp,1178
phw198,OutlookGoogleCalendarSync,1174
Pixeval,Pixeval,1168
FakeItEasy,FakeItEasy,1165
SubnauticaNitrox,Nitrox,1163
lampo1024,DncZeus,1138
sonicether,SEGI,1137
ThePBone,GalaxyBudsClient,1137
helix-toolkit,helix-toolkit,1130
TeamSirenix,odin-serializer,1116
toddams,RazorLight,1112
Invoke-IR,PowerForensics,1100
dotnetcore,HttpReports,1099
ProxyKit,ProxyKit,1081
microsoft,coyote,1078
jwallet,spy-spotify,1077
jsuarezruiz,awesome-xamarin-forms,1075
davideicardi,DynamicExpresso,1072
essensoft,paylink,1068
dotnet,format,1067
dwmkerr,sharpshell,1054
vrm-c,UniVRM,1046
VeriorPies,ParrelSync,1045
Revolutionary-Games,Thrive,1044
Depressurizer,Depressurizer,1038
DavidArayan,ezy-slice,1026
natemcmaster,LettuceEncrypt,1024
sourcechord,FluentWPF,1022
prajjwaldimri,GithubXamarin,1016
simpleinjector,SimpleInjector,1007
alastairtree,LazyCache,1003
